epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,24,,,,,,,,,,,,,,,,,,,
0,,,,,24,329.29119873046875,6.136105537414551,0.011017956770956516,0.003818234894424677,18.825895309448242,54216.3515625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006162288598716259
,0.001,0.0001,0.01,0.001,25,,,,,,,,,,,,,,,,,,,
0,,,,,25,185.2493896484375,6.136105537414551,0.011017956770956516,0.003818234894424677,18.825895309448242,17158.66796875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00647589610889554
,0.001,0.0001,0.01,0.001,26,,,,,,,,,,,,,,,,,,,
0,,,,,26,320.5426940917969,6.136105537414551,0.011017956770956516,0.003818234894424677,18.825895309448242,51373.8046875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0046573420986533165
,0.001,0.0001,0.01,0.001,27,,,,,,,,,,,,,,,,,,,
0,,,,,27,251.09326171875,6.136105537414551,0.011017956770956516,0.003818234894424677,18.825895309448242,31523.9140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005055028013885021
,0.001,0.0001,0.01,0.001,28,,,,,,,,,,,,,,,,,,,
0,,,,,28,70.48860168457031,6.136105537414551,0.011017956770956516,0.003818234894424677,18.825895309448242,2484.321533203125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00451232772320509
,0.001,0.0001,0.01,0.001,29,,,,,,,,,,,,,,,,,,,
0,,,,,29,284.7119445800781,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,40530.44140625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0055362628772854805
,0.001,0.0001,0.01,0.001,30,,,,,,,,,,,,,,,,,,,
0,,,,,30,136.43341064453125,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,9307.0380859375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005864161532372236
,0.001,0.0001,0.01,0.001,31,,,,,,,,,,,,,,,,,,,
0,,,,,31,340.5611267089844,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,57990.9375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008320227265357971
,0.001,0.0001,0.01,0.001,32,,,,,,,,,,,,,,,,,,,
0,,,,,32,151.6046600341797,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,11491.984375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004766110330820084
,0.001,0.0001,0.01,0.001,33,,,,,,,,,,,,,,,,,,,
0,,,,,33,203.12020874023438,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,20628.908203125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0048898253589868546
,0.001,0.0001,0.01,0.001,34,,,,,,,,,,,,,,,,,,,
0,,,,,34,61.715476989746094,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,1904.400146484375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0061968425288796425
,0.001,0.0001,0.01,0.001,35,,,,,,,,,,,,,,,,,,,
0,,,,,35,37.8999137878418,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,718.2017822265625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004651919007301331
,0.001,0.0001,0.01,0.001,36,,,,,,,,,,,,,,,,,,,
0,,,,,36,280.6211242675781,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,39374.109375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004985271953046322
,0.001,0.0001,0.01,0.001,37,,,,,,,,,,,,,,,,,,,
0,,,,,37,340.4624328613281,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,57957.3359375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008326737210154533
,0.001,0.0001,0.01,0.001,38,,,,,,,,,,,,,,,,,,,
0,,,,,38,295.2829284667969,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,43596.0,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008114125579595566
,0.001,0.0001,0.01,0.001,39,,,,,,,,,,,,,,,,,,,
0,,,,,39,106.79762268066406,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,5702.8662109375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005823871120810509
,0.001,0.0001,0.01,0.001,40,,,,,,,,,,,,,,,,,,,
0,,,,,40,33.73763656616211,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,569.1141357421875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005246604792773724
,0.001,0.0001,0.01,0.001,41,,,,,,,,,,,,,,,,,,,
0,,,,,41,159.8328094482422,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,12773.2646484375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004793012980371714
,0.001,0.0001,0.01,0.001,42,,,,,,,,,,,,,,,,,,,
0,,,,,42,51.45258712768555,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,1323.684326171875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006687513552606106
,0.001,0.0001,0.01,0.001,43,,,,,,,,,,,,,,,,,,,
0,,,,,43,109.43077850341797,15.854243278503418,0.012192143127322197,0.003880992066115141,125.67852020263672,5987.54833984375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005450916010886431
,0.001,0.0001,0.01,0.001,44,,,,,,,,,,,,,,,,,,,
