epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,24,301.5443420410156,7.425820827484131,0.0296113770455122,0.009597351774573326,27.571407318115234,45464.49609375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005735137965530157
,0.001,0.0001,0.01,0.001,25,,,,,,,,,,,,,,,,,,,
0,,,,,25,263.4855651855469,7.425820827484131,0.0296113770455122,0.009597351774573326,27.571407318115234,34712.3203125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007974999025464058
,0.001,0.0001,0.01,0.001,26,,,,,,,,,,,,,,,,,,,
0,,,,,26,205.65538024902344,7.425820827484131,0.0296113770455122,0.009597351774573326,27.571407318115234,21147.06640625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005492151714861393
,0.001,0.0001,0.01,0.001,27,,,,,,,,,,,,,,,,,,,
0,,,,,27,342.275390625,7.425820827484131,0.0296113770455122,0.009597351774573326,27.571407318115234,58576.22265625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005406687967479229
,0.001,0.0001,0.01,0.001,28,,,,,,,,,,,,,,,,,,,
0,,,,,28,63.2091178894043,7.425820827484131,0.0296113770455122,0.009597351774573326,27.571407318115234,1997.6964111328125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004831187892705202
,0.001,0.0001,0.01,0.001,29,,,,,,,,,,,,,,,,,,,
0,,,,,29,249.92787170410156,22.841035842895508,0.028925027698278427,0.00955875962972641,260.8564453125,31231.96875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005204742308706045
,0.001,0.0001,0.01,0.001,30,,,,,,,,,,,,,,,,,,,
