epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,18,51.86195755004883,,17.60649871826172,,,,77.49720764160156,1344.831298828125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.019456330686807632
,0.001,0.0001,0.01,0.001,19,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,19,56.32039260864258,,14.836580276489258,,,,55.031028747558594,1585.993408203125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01451911497861147
,0.001,0.0001,0.01,0.001,20,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,20,58.123939514160156,,12.341208457946777,,,,38.076358795166016,1689.196044921875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.015588288195431232
,0.001,0.0001,0.01,0.001,21,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,21,483.7275695800781,,15.126704216003418,,,,57.204288482666016,116996.1796875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.014177231118083
,0.001,0.0001,0.01,0.001,22,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,22,91.3566665649414,,13.983789443969727,,,,48.88658905029297,4173.0205078125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.013894766569137573
,0.001,0.0001,0.01,0.001,23,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,23,242.6776123046875,,23.782136917114258,,,,141.39749145507812,29446.2109375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.019911866635084152
,0.001,0.0001,0.01,0.001,24,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,24,336.54022216796875,9.933656692504883,23.28407096862793,0.05951762944459915,0.011737647466361523,49.33877182006836,135.5369873046875,56629.6640625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.019622767344117165
,0.001,0.0001,0.01,0.001,25,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,25,182.53067016601562,9.933656692504883,21.711471557617188,0.05951762944459915,0.011737647466361523,49.33877182006836,117.84700012207031,16658.72265625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.018338505178689957
,0.001,0.0001,0.01,0.001,26,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,26,50.3719482421875,9.933656692504883,20.665435791015625,0.05951762944459915,0.011737647466361523,49.33877182006836,106.76506042480469,1268.6666259765625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.012503743171691895
,0.001,0.0001,0.01,0.001,27,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,27,321.2998352050781,9.933656692504883,13.309454917907715,0.05951762944459915,0.011737647466361523,49.33877182006836,44.28539276123047,51616.7890625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.014682045206427574
,0.001,0.0001,0.01,0.001,28,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,28,346.7526550292969,9.933656692504883,21.044540405273438,0.05951762944459915,0.011737647466361523,49.33877182006836,110.71817016601562,60118.703125,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01576589234173298
,0.001,0.0001,0.01,0.001,29,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,29,133.10894775390625,14.335176467895508,9.710640907287598,0.06090419366955757,0.01191012468189001,102.74864196777344,23.574140548706055,8858.99609375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.014481405727565289
,0.001,0.0001,0.01,0.001,30,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,30,312.8816833496094,14.335176467895508,13.356760025024414,0.06090419366955757,0.01191012468189001,102.74864196777344,44.60076141357422,48947.4765625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.013277575373649597
,0.001,0.0001,0.01,0.001,31,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,31,32.403350830078125,14.335176467895508,17.508962631225586,0.06090419366955757,0.01191012468189001,102.74864196777344,76.64094543457031,524.988525390625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01293131336569786
,0.001,0.0001,0.01,0.001,32,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,32,205.86793518066406,14.335176467895508,12.482080459594727,0.06090419366955757,0.01191012468189001,102.74864196777344,38.95058059692383,21190.8046875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01647324673831463
,0.001,0.0001,0.01,0.001,33,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,33,202.1487274169922,14.335176467895508,29.070785522460938,0.06090419366955757,0.01191012468189001,102.74864196777344,211.2776641845703,20432.0546875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.021801123395562172
,0.001,0.0001,0.01,0.001,34,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,34,115.2516098022461,14.335176467895508,18.714174270629883,0.06090419366955757,0.01191012468189001,102.74864196777344,87.55508422851562,6641.466796875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.015448419377207756
,0.001,0.0001,0.01,0.001,35,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,35,113.28707122802734,14.335176467895508,14.240386009216309,0.06090419366955757,0.01191012468189001,102.74864196777344,50.69715118408203,6416.98046875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01801580935716629
,0.001,0.0001,0.01,0.001,36,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,36,178.86929321289062,14.335176467895508,15.548855781555176,0.06090419366955757,0.01191012468189001,102.74864196777344,60.441734313964844,15997.11328125,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01663697324693203
,0.001,0.0001,0.01,0.001,37,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,37,265.02508544921875,14.335176467895508,21.31337547302246,0.06090419366955757,0.01191012468189001,102.74864196777344,113.56500244140625,35119.1484375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01678456738591194
,0.001,0.0001,0.01,0.001,38,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,38,213.99026489257812,14.335176467895508,19.95456886291504,0.06090419366955757,0.01191012468189001,102.74864196777344,99.54621124267578,22895.91796875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.014612209051847458
,0.001,0.0001,0.01,0.001,39,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,39,216.99717712402344,14.335176467895508,22.53962516784668,0.06090419366955757,0.01191012468189001,102.74864196777344,127.0086669921875,23543.88671875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.018084008246660233
,0.001,0.0001,0.01,0.001,40,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,40,171.2432861328125,14.335176467895508,22.827356338500977,0.06090419366955757,0.01191012468189001,102.74864196777344,130.2720489501953,14662.1328125,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.016196243464946747
,0.001,0.0001,0.01,0.001,41,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,41,203.87051391601562,14.335176467895508,15.851781845092773,0.06090419366955757,0.01191012468189001,102.74864196777344,62.819740295410156,20781.59375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.022010846063494682
,0.001,0.0001,0.01,0.001,42,,,,,,,,,,,,,,,,,,,,,,,,
