epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,18,74.5887222290039,,18.460790634155273,,,,85.20020294189453,2781.73876953125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008623437024652958
,0.001,0.0001,0.01,0.001,19,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,19,75.63583374023438,,18.483184814453125,,,,85.40702819824219,2860.389404296875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007350410334765911
,0.001,0.0001,0.01,0.001,20,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,20,110.98928833007812,,16.671817779541016,,,,69.48738098144531,6159.31103515625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006842353846877813
,0.001,0.0001,0.01,0.001,21,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,21,325.6471252441406,,18.191070556640625,,,,82.728759765625,53023.0234375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006098357029259205
,0.001,0.0001,0.01,0.001,22,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,22,117.53941345214844,,18.02980613708496,,,,81.26847839355469,6907.7578125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006170465610921383
,0.001,0.0001,0.01,0.001,23,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,23,316.9120178222656,,35.29246520996094,,,,311.3895568847656,50216.6171875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010641558095812798
,0.001,0.0001,0.01,0.001,24,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,24,404.3371276855469,8.876739501953125,36.32289123535156,0.07516097277402878,0.020166929811239243,39.39824676513672,329.8381042480469,81744.25,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010507590137422085
,0.001,0.0001,0.01,0.001,25,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,25,503.9075012207031,8.876739501953125,32.317970275878906,0.07516097277402878,0.020166929811239243,39.39824676513672,261.1128234863281,126961.390625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010532544925808907
,0.001,0.0001,0.01,0.001,26,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,26,73.08956146240234,8.876739501953125,29.94119644165039,0.07516097277402878,0.020166929811239243,39.39824676513672,224.11880493164062,2671.0419921875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007253982592374086
,0.001,0.0001,0.01,0.001,27,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,27,438.1808166503906,8.876739501953125,19.11176300048828,0.07516097277402878,0.020166929811239243,39.39824676513672,91.31485748291016,96001.21875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007498303893953562
,0.001,0.0001,0.01,0.001,28,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,28,470.0871276855469,8.876739501953125,28.950918197631836,0.07516097277402878,0.020166929811239243,39.39824676513672,209.53887939453125,110490.9609375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00812296848744154
,0.001,0.0001,0.01,0.001,29,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,29,165.9932403564453,13.785802841186523,13.055852890014648,0.07361415773630142,0.020352670922875404,95.02417755126953,42.61381912231445,13776.87890625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007478797808289528
,0.001,0.0001,0.01,0.001,30,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,30,387.311279296875,13.785802841186523,15.91374683380127,0.07361415773630142,0.020352670922875404,95.02417755126953,63.311832427978516,75005.015625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007398461923003197
,0.001,0.0001,0.01,0.001,31,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,31,58.17832565307617,13.785802841186523,25.63581657409668,0.07361415773630142,0.020352670922875404,95.02417755126953,164.29876708984375,1692.35888671875,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007690052501857281
