epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd,train/loss_sd_3d,train/loss_sd_img,train/max_step,train/max_step_3d,train/min_step,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sd,train_params/lambda_sd_img,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,0,12.460529327392578,3.686807632446289,0.5892344117164612,0.03383076936006546,77.63239288330078,6.7962751388549805,106.49044799804688,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00019587521092034876
,0.001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,,,,,
0,,,,1,17.55982780456543,9.174931526184082,0.5892818570137024,0.03383442014455795,154.17376708984375,42.08968734741211,261.64849853515625,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00023160051205195487
,0.001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,,,,,
0,,,,2,95.13206481933594,8.205826759338379,0.5893471240997314,0.03383352607488632,4525.0546875,33.66779708862305,1837.362548828125,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00026991963386535645
,0.001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,,,,,
0,,,,3,38.224613189697266,23.294147491455078,0.5893978476524353,0.0338330939412117,730.5604248046875,271.30865478515625,1477.953369140625,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00026814709417521954
,0.001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
0,,,,4,52.376495361328125,3.4486498832702637,0.5893386602401733,0.03383173421025276,1371.648681640625,5.946592807769775,2965.714599609375,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00022143131354823709
,0.001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,,,,,
0,,,,5,24.901365280151367,15.549383163452148,0.588489830493927,0.03381688520312309,310.03900146484375,120.89166259765625,519.29296875,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00024658397887833416
,0.001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,,,,,
0,,,,6,52.48798751831055,5.737298011779785,0.5880254507064819,0.0338168665766716,1377.494384765625,16.458293914794922,1970.483154296875,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00021457938419189304
,0.001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
0,,,,7,28.721635818481445,2.0843732357025146,0.5882645845413208,0.03380853682756424,412.4661865234375,2.1723060607910156,822.679443359375,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00020194648823235184
,0.001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
0,,,,8,36.75511169433594,6.223478317260742,0.58806973695755,0.033796217292547226,675.4691162109375,19.365840911865234,1471.2188720703125,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00023462658282369375
,0.001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,,,,,
0,,,,9,47.99415588378906,4.1856369972229,0.5872538089752197,0.033791087567806244,1151.719482421875,8.75977897644043,1132.2916259765625,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.0002523715083952993
,0.001,0.01,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
0,,,,10,62.774879455566406,4.381153106689453,0.5871602296829224,0.03378291428089142,1970.3427734375,9.597250938415527,1989.001708984375,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00016995659098029137
,0.001,0.01,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
0,,,,11,102.12789154052734,11.166095733642578,0.5866484045982361,0.03377242386341095,5215.052734375,62.34084701538086,2002.9754638671875,600.0,600.0,200.0,200.0,1.0,100.0,1000.0,0.0,0.0,1000.0,0.02500000037252903,0.0002500000118743628,0.0,0.0,0.0,0.00025561498478055
,0.001,0.01,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
